record_id,raw_record_hash,platform,source_type,scrape_run_id,raw_file_path,raw_record_index,brand,brand_or_competitor,source_account,source_id,source_url,post_id,comment_id,parent_id,author_id,author_username,author_display_name,text,language,posted_at,posted_at_raw,scraped_at,likes,replies,shares,views,rating,app_version,country,sentiment_label,concern_category,urgency_flag,raw_field_names,raw_record_json
sample-001,hash-001,x,social_comment,sample_run_x,data/raw/x/sample_run_x.json,0,telgani,telgani,telgani,src-x-1,https://x.com/telgani/status/1,post-x-1,c-x-1,,u-1,saud_driver,Saud,"خدمة العملاء بطيئة جدا، أرسلت لهم أكثر من مرة وما وصلني رد واضح.",ar,2026-05-06T08:30:00+00:00,2026-05-06,2026-05-06T09:00:00+00:00,18,4,2,450,,,SA,,,,"text,createdAt,url",
sample-002,hash-002,instagram,social_comment,sample_run_instagram,data/raw/instagram/sample_run_instagram.json,0,telgani,telgani,telgani,src-ig-1,https://instagram.com/p/sample1,post-ig-1,c-ig-1,,u-2,noura_reviews,Noura,"السيارة وصلت متأخرة والحجز تغير بدون توضيح كافي.",ar,2026-05-05T15:10:00+00:00,2026-05-05,2026-05-06T09:00:00+00:00,33,7,5,1200,,,SA,,,,"text,createdAt,url",
sample-003,hash-003,tiktok,social_comment,sample_run_tiktok,data/raw/tiktok/sample_run_tiktok.json,0,telgani,telgani,telganiapp,src-tt-1,https://tiktok.com/@telganiapp/video/1,post-tt-1,c-tt-1,,u-3,khalid_auto,Khalid,The booking was easy and the app is fast. I would recommend it.,en,2026-05-05T11:00:00+00:00,2026-05-05,2026-05-06T09:00:00+00:00,92,11,18,6800,,,SA,,,,"text,createdAt,url",
sample-004,hash-004,app_store,app_review,sample_run_app_store,data/raw/app_store/sample_run_app_store.json,0,telgani,telgani,1377706766,app-1377706766,https://apps.apple.com/app/id1377706766,,review-1,,u-4,app_user_1,App User,I was charged an extra fee and the refund process was confusing.,en,2026-05-04T19:45:00+00:00,2026-05-04,2026-05-06T09:00:00+00:00,4,1,0,,2,4.2.1,SA,,,,"review,rating,date",
sample-005,hash-005,x,social_comment,sample_run_x,data/raw/x/sample_run_x.json,1,telgani,telgani,telgani,src-x-1,https://x.com/telgani/status/2,post-x-2,c-x-2,,u-5,maha_travel,Maha,"ممتاز وسهل، لكن أتمنى توضيح التأمين والرسوم قبل الدفع.",ar,2026-05-04T10:20:00+00:00,2026-05-04,2026-05-06T09:00:00+00:00,21,3,1,760,,,SA,,,,"text,createdAt,url",
sample-006,hash-006,instagram,social_comment,sample_run_instagram,data/raw/instagram/sample_run_instagram.json,1,telgani,telgani,telgani,src-ig-1,https://instagram.com/p/sample2,post-ig-2,c-ig-2,,u-6,riyadh_renter,Riyadh Renter,The car condition was not good. It smelled bad and had visible damage.,en,2026-05-03T17:30:00+00:00,2026-05-03,2026-05-06T09:00:00+00:00,57,9,4,2300,,,SA,,,,"text,createdAt,url",
sample-007,hash-007,tiktok,social_comment,sample_run_tiktok,data/raw/tiktok/sample_run_tiktok.json,1,telgani,telgani,telganiapp,src-tt-1,https://tiktok.com/@telganiapp/video/2,post-tt-2,c-tt-2,,u-7,lama_says,Lama,"ليش السعر يتغير بعد ما أختار السيارة؟ هذا يقلل الثقة.",ar,2026-05-03T09:15:00+00:00,2026-05-03,2026-05-06T09:00:00+00:00,40,6,3,1800,,,SA,,,,"text,createdAt,url",
sample-008,hash-008,app_store,app_review,sample_run_app_store,data/raw/app_store/sample_run_app_store.json,1,telgani,telgani,1377706766,app-1377706766,https://apps.apple.com/app/id1377706766,,review-2,,u-8,app_user_2,App User,"Great selection of cars and the interface is useful, but support response can be faster.",en,2026-05-02T13:00:00+00:00,2026-05-02,2026-05-06T09:00:00+00:00,6,2,0,,4,4.2.1,SA,,,,"review,rating,date",
sample-009,hash-009,x,social_comment,sample_run_x,data/raw/x/sample_run_x.json,2,telgani,telgani,telgani,src-x-1,https://x.com/telgani/status/3,post-x-3,c-x-3,,u-9,fahad_support,Fahad,Urgent: I cannot reach anyone and my booking is today. Need response now.,en,2026-05-02T08:00:00+00:00,2026-05-02,2026-05-06T09:00:00+00:00,64,14,8,3900,,,SA,,,,"text,createdAt,url",
sample-010,hash-010,instagram,social_comment,sample_run_instagram,data/raw/instagram/sample_run_instagram.json,2,telgani,telgani,telgani,src-ig-1,https://instagram.com/p/sample3,post-ig-3,c-ig-3,,u-10,hind_trip,Hind,"التطبيق مفيد، بس نحتاج شرح أوضح عن الاسترجاع إذا انلغى الحجز.",ar,2026-05-01T18:20:00+00:00,2026-05-01,2026-05-06T09:00:00+00:00,25,5,2,1100,,,SA,,,,"text,createdAt,url",
sample-011,hash-011,tiktok,social_comment,sample_run_tiktok,data/raw/tiktok/sample_run_tiktok.json,2,telgani,telgani,telganiapp,src-tt-1,https://tiktok.com/@telganiapp/video/3,post-tt-3,c-tt-3,,u-11,ali_cars,Ali,"Good prices, but please show delivery time before checkout.",en,2026-05-01T12:05:00+00:00,2026-05-01,2026-05-06T09:00:00+00:00,38,4,6,2100,,,SA,,,,"text,createdAt,url",
sample-012,hash-012,app_store,app_review,sample_run_app_store,data/raw/app_store/sample_run_app_store.json,2,telgani,telgani,1377706766,app-1377706766,https://apps.apple.com/app/id1377706766,,review-3,,u-12,app_user_3,App User,The app crashed after payment and I was worried about the booking confirmation.,en,2026-05-01T07:40:00+00:00,2026-05-01,2026-05-06T09:00:00+00:00,3,1,0,,2,4.2.1,SA,,,,"review,rating,date",
